vendor_id,pickup_date,day_num,day_name,avg_distance,avg_fare,avg_tip,sum_duration_minutes,avg_duration_minutes,avg_speed_kmh,sum_passenger,avg_passenger,total_trip,total_revenue,min_transaction,max_transaction,std_transaction,is_weekend
1,2016-01-03,7,Sunday,4.87,11.95,1.47,151507.7,11.23,23.43,18385.0,1.36,13491,198210.55,3.3,70.34,11.27,1
2,2016-01-03,7,Sunday,4.96,12.0,1.49,172647.48,11.32,23.81,31429.0,2.06,15246,224487.81,3.8,70.34,11.36,1
2,2016-01-04,1,Monday,4.4,11.32,1.51,181382.53,11.34,21.01,32454.0,2.03,15989,228448.94,3.8,70.01,10.98,0
1,2016-01-04,1,Monday,4.19,11.04,1.46,157392.83,11.1,20.42,17307.0,1.22,14182,197035.6,3.3,70.01,10.35,0
2,2016-01-10,7,Sunday,4.65,11.5,1.58,202418.12,11.11,22.82,37482.0,2.06,18216,260660.11,3.8,70.34,10.58,1
1,2016-01-10,7,Sunday,4.47,11.26,1.51,168975.22,10.94,22.21,20354.0,1.32,15446,216252.47,3.3,70.34,10.09,1
2,2016-01-13,3,Wednesday,4.02,11.22,1.69,253733.78,12.33,18.46,41756.0,2.03,20571,293717.95,3.8,70.01,9.74,0
1,2016-01-13,3,Wednesday,3.84,11.02,1.64,215484.85,12.2,17.83,20909.0,1.18,17664,247527.32,3.3,70.56,9.41,0
2,2016-01-15,5,Friday,4.31,11.83,1.71,266550.22,13.06,18.5,41285.0,2.02,20408,305181.81,3.8,70.01,10.52,0
1,2016-01-15,5,Friday,4.22,11.75,1.67,233951.12,12.97,18.16,22127.0,1.23,18041,267311.05,3.3,70.0,10.24,0
2,2016-02-04,4,Thursday,4.21,11.87,1.78,275751.28,13.43,17.84,41444.0,2.02,20526,309139.66,3.8,70.01,10.37,0
1,2016-02-04,4,Thursday,4.08,11.74,1.75,237748.12,13.36,17.42,20938.0,1.18,17798,264570.72,3.8,70.34,10.01,0
1,2016-02-08,1,Monday,4.11,11.14,1.6,177438.12,11.6,19.5,17962.0,1.17,15290,216021.63,3.3,70.0,10.06,0
2,2016-02-08,1,Monday,4.23,11.26,1.65,210044.47,11.73,20.08,35969.0,2.01,17910,256846.45,3.3,70.34,10.27,0
1,2016-02-11,4,Thursday,3.91,11.54,1.7,254252.73,13.33,16.79,22656.0,1.19,19075,278474.8,3.3,70.0,9.74,0
2,2016-02-11,4,Thursday,4.05,11.65,1.73,293636.83,13.32,17.44,45153.0,2.05,22048,325674.89,3.8,71.21,9.99,0
1,2016-02-12,5,Friday,4.06,11.88,1.68,259966.58,13.68,16.94,23629.0,1.24,19008,284045.08,3.3,70.01,10.21,0
2,2016-02-12,5,Friday,4.23,12.1,1.72,301761.05,13.89,17.43,44064.0,2.03,21727,330941.36,3.8,70.01,10.5,0
1,2016-02-13,6,Saturday,3.92,11.1,1.43,237676.0,12.07,18.62,26983.0,1.37,19693,269076.88,3.3,70.59,8.83,1
2,2016-02-13,6,Saturday,3.96,11.12,1.42,281423.6,12.07,18.94,47709.0,2.05,23320,318128.8,3.3,70.34,9.12,1
1,2016-02-19,5,Friday,4.11,11.69,1.64,246154.0,13.08,17.76,23331.0,1.24,18823,276815.88,3.3,70.59,9.79,0
2,2016-02-19,5,Friday,4.17,11.69,1.67,282005.18,13.08,18.13,43250.0,2.01,21560,318196.95,3.8,71.81,9.91,0
1,2016-02-20,6,Saturday,4.18,11.57,1.52,241420.12,12.59,19.03,25775.0,1.34,19176,273280.7,3.8,70.59,9.28,1
2,2016-02-20,6,Saturday,4.32,11.69,1.53,276370.93,12.66,19.57,44438.0,2.04,21825,313636.36,3.8,70.34,9.54,1
2,2016-02-23,2,Tuesday,4.0,11.61,1.72,274241.35,13.42,17.17,40868.0,2.0,20434,300468.23,3.8,70.34,9.99,0
1,2016-02-23,2,Tuesday,3.87,11.52,1.7,235958.77,13.41,16.56,20795.0,1.18,17598,256508.75,3.3,71.2,9.84,0
1,2016-03-02,3,Wednesday,3.99,11.5,1.7,234397.85,12.96,17.61,21328.0,1.18,18086,263532.96,3.3,70.59,9.75,0
2,2016-03-02,3,Wednesday,4.1,11.59,1.73,269782.83,13.01,18.14,41592.0,2.01,20735,304987.48,3.8,70.61,9.91,0
1,2016-03-06,7,Sunday,4.59,11.86,1.58,203452.43,12.02,21.33,22596.0,1.34,16920,248323.41,3.3,70.34,10.46,1
