vendor_id,pickup_date,pickup_hour,day_name,is_weekend,day_num,avg_distance,avg_fare,avg_tip,avg_duration_minutes,avg_speed_kmh,sum_passenger,avg_passenger,total_trip,total_revenue,min_transaction,max_transaction,std_transaction
1,2016-01-01,2,Friday,0,5,5.15,12.86,1.52,13.3,21.91,1745,1.5,1163,18347.77,3.8,57.99,8.94
1,2016-01-01,4,Friday,0,5,5.78,13.6,1.26,12.86,25.42,906,1.44,629,10228.3,4.3,70.0,10.04
2,2016-01-01,5,Friday,0,5,6.57,14.42,1.02,12.53,28.99,873,2.05,426,7192.18,4.3,63.36,10.95
2,2016-01-01,6,Friday,0,5,6.44,13.9,1.23,11.31,30.52,734,2.06,357,5787.22,3.8,60.34,11.6
2,2016-01-01,7,Friday,0,5,6.4,13.94,1.18,11.03,31.07,554,1.94,285,4670.06,3.3,68.34,12.93
2,2016-01-01,8,Friday,0,5,5.72,12.6,1.34,9.98,30.9,595,2.09,285,4296.85,3.8,70.01,11.6
1,2016-01-01,9,Friday,0,5,5.8,12.82,1.23,10.1,30.05,295,1.43,206,3158.09,3.3,58.34,11.69
2,2016-01-01,11,Friday,0,5,4.57,10.9,1.18,9.36,27.05,1453,2.13,683,8953.01,3.8,65.0,9.07
2,2016-01-01,18,Friday,0,5,4.27,11.21,1.23,11.31,21.15,1900,1.99,955,12858.23,3.8,70.01,9.91
2,2016-01-01,20,Friday,0,5,4.37,11.03,1.2,10.47,22.62,1400,1.97,712,9757.16,4.3,70.01,9.99
1,2016-01-01,21,Friday,0,5,4.05,10.55,1.29,10.16,21.92,787,1.5,523,6927.53,4.8,70.0,8.24
2,2016-01-02,0,Saturday,1,6,4.6,11.06,1.37,9.93,25.14,1267,1.97,643,8907.73,4.3,70.01,10.05
1,2016-01-02,1,Saturday,1,6,4.66,11.04,1.33,9.7,26.64,503,1.37,368,5043.52,4.8,70.0,8.28
1,2016-01-02,3,Saturday,1,6,5.24,12.26,1.48,10.47,27.55,402,1.51,267,4045.99,4.3,69.99,10.65
1,2016-01-02,10,Saturday,1,6,4.74,11.47,1.24,9.69,25.18,699,1.37,512,7058.7,4.3,70.0,11.87
2,2016-01-02,12,Saturday,1,6,4.2,10.83,1.27,10.36,22.12,1984,2.05,966,12658.42,3.8,70.01,10.2
1,2016-01-02,13,Saturday,1,6,4.02,11.04,1.13,11.33,19.78,1052,1.46,723,9466.01,3.8,69.99,9.42
1,2016-01-02,14,Saturday,1,6,4.65,12.05,1.2,12.27,20.33,1108,1.48,749,10729.87,3.8,69.99,11.18
1,2016-01-02,15,Saturday,1,6,4.1,11.28,1.15,11.75,18.94,1247,1.51,825,11092.28,3.8,69.99,10.09
1,2016-01-02,16,Saturday,1,6,3.99,11.17,1.21,12.19,18.19,1123,1.46,767,10384.37,4.3,69.99,9.75
2,2016-01-02,17,Saturday,1,6,4.36,11.99,1.36,13.41,18.48,1919,1.94,989,14230.71,4.3,70.01,10.88
2,2016-01-02,19,Saturday,1,6,3.93,11.35,1.33,12.87,17.79,2244,1.99,1125,15289.54,3.8,70.01,9.43
2,2016-01-02,22,Saturday,1,6,4.21,11.14,1.39,11.61,20.32,2024,2.06,982,13739.26,4.3,68.34,8.89
2,2016-01-02,23,Saturday,1,6,4.45,11.32,1.56,11.34,21.69,2130,2.02,1055,15123.65,4.3,70.01,9.35
1,2016-01-03,2,Sunday,1,7,4.94,11.77,1.48,10.81,25.16,900,1.41,639,9329.75,4.8,69.99,8.43
1,2016-01-03,4,Sunday,1,7,6.15,13.64,1.32,11.62,28.88,501,1.44,348,5712.78,4.8,59.84,10.13
2,2016-01-03,5,Sunday,1,7,9.02,18.47,2.12,13.63,34.98,277,2.01,138,3079.78,4.8,68.34,17.2
2,2016-01-03,6,Sunday,1,7,8.04,16.28,1.83,11.57,36.13,287,2.05,140,2713.33,4.3,70.01,16.64
2,2016-01-03,7,Sunday,1,7,7.53,15.4,1.92,11.27,34.79,408,1.98,206,3847.4,4.3,70.34,16.35
2,2016-01-03,8,Sunday,1,7,5.92,12.94,1.56,9.96,30.39,602,2.09,288,4517.82,4.3,70.01,14.09
1,2016-01-03,9,Sunday,1,7,4.89,11.49,1.45,9.14,27.71,564,1.29,436,6136.01,3.3,69.99,11.78
2,2016-01-03,11,Sunday,1,7,4.31,10.85,1.26,10.01,23.25,1588,2.01,791,10399.28,3.8,70.01,10.37
2,2016-01-03,18,Sunday,1,7,4.72,12.08,1.51,12.64,20.46,1734,1.92,904,13243.91,3.8,70.01,11.47
2,2016-01-03,20,Sunday,1,7,5.23,12.32,1.6,11.36,24.47,1376,2.05,672,10449.0,4.3,70.01,11.96
1,2016-01-03,21,Sunday,1,7,5.16,12.15,1.67,10.92,24.96,675,1.3,521,8061.31,4.8,70.0,11.4
2,2016-01-04,1,Monday,0,1,6.78,14.36,1.74,11.47,31.41,330,1.99,166,2913.5,4.8,70.01,13.37
2,2016-01-04,3,Monday,0,1,6.32,13.95,1.43,11.82,29.36,88,1.69,52,883.13,5.8,58.34,11.75
1,2016-01-04,5,Monday,0,1,5.7,13.01,1.65,9.69,29.79,181,1.1,165,2734.24,4.8,69.99,14.19
1,2016-01-04,6,Monday,0,1,4.15,10.16,1.51,9.09,25.32,498,1.07,464,5884.08,3.8,69.99,10.07
1,2016-01-04,7,Monday,0,1,3.76,10.22,1.35,10.58,20.39,866,1.12,771,9648.56,3.8,69.99,8.24
1,2016-01-04,8,Monday,0,1,3.69,10.73,1.47,11.82,17.1,1037,1.12,926,12220.3,3.8,69.99,9.56
2,2016-01-04,10,Monday,0,1,4.91,12.66,1.63,13.07,19.57,1611,2.15,751,11671.33,3.8,70.01,12.8
1,2016-01-04,11,Monday,0,1,3.9,10.92,1.3,11.44,18.25,711,1.21,589,7823.59,4.3,70.0,10.39
2,2016-01-04,13,Monday,0,1,3.88,10.63,1.14,11.04,19.17,1377,1.98,696,8879.81,3.8,63.34,9.24
2,2016-01-04,14,Monday,0,1,4.5,11.78,1.26,12.29,18.89,1786,2.19,817,11589.69,3.8,70.01,12.3
2,2016-01-04,15,Monday,0,1,4.17,11.36,1.4,12.24,17.97,1786,2.13,839,11596.47,3.8,70.01,11.75
2,2016-01-04,16,Monday,0,1,4.02,10.83,1.41,11.45,18.98,1804,2.08,868,12425.82,4.8,70.01,11.46
1,2016-01-04,18,Monday,0,1,3.54,10.01,1.43,10.89,18.02,1230,1.21,1013,13526.13,4.8,66.34,8.36
1,2016-01-04,20,Monday,0,1,4.47,10.98,1.64,10.19,23.27,1028,1.24,828,11729.72,4.8,64.34,9.91
2,2016-01-05,0,Tuesday,0,2,6.14,13.44,1.61,11.0,29.32,671,2.05,327,5435.85,4.3,70.01,13.02
1,2016-01-05,1,Tuesday,0,2,6.57,14.06,1.64,11.39,30.99,238,1.29,185,3177.07,4.8,69.99,11.87
1,2016-01-05,3,Tuesday,0,2,5.23,12.05,1.16,10.12,27.67,118,1.23,96,1408.82,4.3,52.8,9.41
1,2016-01-05,10,Tuesday,0,2,3.63,10.91,1.41,12.47,16.2,857,1.15,745,9953.29,3.8,69.99,9.42
2,2016-01-05,12,Tuesday,0,2,3.58,10.77,1.36,12.24,16.0,1750,2.12,826,10862.21,3.8,70.01,9.75
1,2016-01-05,13,Tuesday,0,2,3.96,11.41,1.38,12.43,16.76,822,1.2,685,9477.82,3.8,70.34,10.93
1,2016-01-05,14,Tuesday,0,2,3.74,11.01,1.29,12.36,16.14,1074,1.25,856,11412.62,3.3,69.99,10.08
1,2016-01-05,15,Tuesday,0,2,3.98,11.44,1.46,13.01,16.29,1070,1.25,856,12044.73,3.8,70.34,11.03
1,2016-01-05,16,Tuesday,0,2,3.78,10.87,1.45,12.24,16.93,930,1.24,749,10736.47,4.3,70.0,10.62
2,2016-01-05,17,Tuesday,0,2,3.99,11.29,1.6,12.95,17.01,1974,1.97,1000,14924.83,5.3,70.01,10.27
2,2016-01-05,19,Tuesday,0,2,3.99,10.61,1.66,11.04,20.0,2094,1.94,1079,15373.28,5.3,70.01,9.07
2,2016-01-05,22,Tuesday,0,2,5.13,12.21,1.74,11.5,24.46,1638,1.95,838,12888.34,4.3,70.01,9.82
2,2016-01-05,23,Tuesday,0,2,5.48,12.55,1.7,11.26,26.46,1201,2.0,601,9464.72,4.3,63.36,10.29
1,2016-01-06,2,Wednesday,0,3,5.25,11.99,1.2,10.1,27.87,176,1.3,135,1961.18,4.8,62.8,10.2
1,2016-01-06,4,Wednesday,0,3,6.35,14.39,1.27,11.67,29.75,115,1.13,102,1745.38,5.3,66.34,12.3
2,2016-01-06,5,Wednesday,0,3,5.85,12.64,1.69,9.97,32.74,338,2.17,156,2505.44,3.8,70.01,13.19
2,2016-01-06,6,Wednesday,0,3,4.21,10.19,1.42,9.14,25.56,759,1.85,411,5182.67,3.8,68.34,9.99
2,2016-01-06,7,Wednesday,0,3,3.99,10.76,1.49,11.23,20.32,1771,2.08,853,11303.11,3.8,70.01,9.49
2,2016-01-06,8,Wednesday,0,3,3.53,10.78,1.54,12.6,16.4,2200,2.03,1084,14384.18,3.8,70.01,8.86
1,2016-01-06,9,Wednesday,0,3,3.36,10.57,1.54,12.26,15.24,899,1.09,822,10716.42,4.3,70.0,8.81
2,2016-01-06,11,Wednesday,0,3,3.85,11.46,1.49,13.14,16.12,1716,1.97,871,12133.68,3.8,70.01,9.9
2,2016-01-06,18,Wednesday,0,3,4.04,11.35,1.68,12.91,17.29,2452,2.01,1217,18312.98,4.8,70.01,10.32
2,2016-01-06,20,Wednesday,0,3,4.5,11.27,1.78,11.14,22.01,2478,2.05,1211,17624.32,4.3,70.01,9.75
1,2016-01-06,21,Wednesday,0,3,4.64,11.71,1.76,11.76,21.6,1104,1.21,910,13594.15,3.3,69.99,9.59
2,2016-01-07,1,Thursday,0,4,5.41,12.25,1.4,10.76,28.17,575,2.2,261,3911.88,4.3,66.34,8.64
2,2016-01-07,3,Thursday,0,4,5.34,12.04,1.25,10.23,29.22,209,2.13,98,1440.07,4.3,58.34,9.89
1,2016-01-07,5,Thursday,0,4,4.81,10.99,1.41,8.73,28.98,157,1.09,144,2011.92,3.8,69.99,12.25
1,2016-01-07,6,Thursday,0,4,4.04,10.05,1.38,9.14,24.42,502,1.05,477,5916.27,3.8,63.35,9.66
1,2016-01-07,7,Thursday,0,4,3.61,10.25,1.39,10.97,18.87,941,1.11,844,10590.41,3.8,69.99,8.08
1,2016-01-07,8,Thursday,0,4,3.43,10.88,1.54,12.95,15.25,1076,1.16,926,12347.53,3.3,69.99,8.27
2,2016-01-07,10,Thursday,0,4,3.78,11.33,1.59,13.19,16.28,1839,2.15,856,11905.92,3.8,70.01,9.36
1,2016-01-07,11,Thursday,0,4,3.85,11.5,1.59,13.15,16.34,946,1.19,793,11196.7,3.8,70.0,9.72
2,2016-01-07,13,Thursday,0,4,3.91,11.32,1.46,12.74,16.64,1757,2.07,850,11724.87,3.8,70.01,9.74
2,2016-01-07,14,Thursday,0,4,4.19,11.94,1.55,13.55,16.6,2050,2.12,966,14156.24,3.8,70.01,11.03
2,2016-01-07,15,Thursday,0,4,3.94,11.65,1.48,13.47,15.6,1894,2.06,919,13080.57,3.8,70.34,11.18
2,2016-01-07,16,Thursday,0,4,3.92,11.3,1.68,12.94,16.62,1592,1.99,800,12047.1,5.3,70.01,11.03
1,2016-01-07,18,Thursday,0,4,3.68,11.08,1.69,13.01,15.78,1291,1.19,1081,15925.83,4.8,69.99,9.29
