payment_type,vendor_id,day_name,day_num,day_type,payment_name,total_revenue,avg_tip,avg_fare,total_trip,avg_distance,avg_duration,total_tip,avg_speed,sum_passenger,avg_passenger
1,1,Saturday,6,Weekend,Credit Card,4597155.78,2.31,11.79,300948,4.3,12.88,694059.55,19.22,404094.0,1.34
1,1,Monday,1,Weekday,Credit Card,4209567.92,2.48,12.13,262182,4.52,13.0,649444.16,19.47,309202.0,1.18
1,1,Thursday,4,Weekday,Credit Card,5218233.63,2.54,12.47,317706,4.33,14.47,805386.93,17.28,373748.0,1.18
2,2,Friday,5,Weekday,Cash,2288165.06,0.0,11.34,180646,3.9,12.95,0.0,17.48,364731.0,2.02
2,2,Sunday,7,Weekend,Cash,2115152.79,0.0,11.39,168579,4.4,11.59,0.0,21.24,343697.0,2.04
2,2,Tuesday,2,Weekday,Cash,1988645.56,0.0,11.17,159406,3.79,12.77,0.0,17.31,321271.0,2.02
2,2,Wednesday,3,Weekday,Cash,2012316.02,0.0,11.22,160703,3.75,13.02,0.0,16.98,325613.0,2.03
3,1,Friday,5,Weekday,No charge,38951.41,0.0,13.4,2624,4.82,14.54,2.0,18.13,3377.0,1.29
3,1,Sunday,7,Weekend,No charge,37296.45,0.0,13.57,2513,5.37,12.79,0.0,22.17,3386.0,1.35
3,1,Tuesday,2,Weekday,No charge,30384.47,0.01,13.2,2082,4.7,13.94,15.62,18.43,2602.0,1.25
3,1,Wednesday,3,Weekday,No charge,32935.86,0.0,13.32,2237,4.66,14.55,4.56,18.13,2828.0,1.26
4,1,Saturday,6,Weekend,Dispute,16702.48,0.0,13.44,1142,4.95,14.16,0.0,19.33,1512.0,1.32
4,1,Monday,1,Weekday,Dispute,12174.46,0.0,12.94,850,4.83,13.66,0.0,19.3,1057.0,1.24
4,1,Thursday,4,Weekday,Dispute,12294.01,0.0,12.98,856,4.46,14.84,3.0,16.96,1032.0,1.21
1,2,Saturday,6,Weekend,Credit Card,5322913.69,2.34,11.93,344798,4.44,12.92,806017.2,19.82,700816.0,2.03
1,2,Monday,1,Weekday,Credit Card,4912249.25,2.54,12.36,299805,4.71,13.19,760432.38,20.05,599615.0,2.0
1,2,Thursday,4,Weekday,Credit Card,6031926.93,2.58,12.64,361839,4.48,14.58,933234.32,17.78,728369.0,2.01
2,1,Saturday,6,Weekend,Cash,2013934.01,0.0,11.08,164953,3.94,12.02,14.29,18.65,235333.0,1.43
2,1,Monday,1,Weekday,Cash,1615353.41,0.0,10.88,132713,3.83,11.8,3.56,18.33,171587.0,1.29
2,1,Thursday,4,Weekday,Cash,1781725.68,0.0,11.23,142122,3.68,13.09,20.91,16.42,180167.0,1.27
1,1,Friday,5,Weekday,Credit Card,5097630.82,2.47,12.25,316237,4.31,13.98,779818.08,17.68,387121.0,1.22
1,1,Sunday,7,Weekend,Credit Card,4215449.08,2.41,12.26,264474,4.83,12.44,636456.53,21.65,348919.0,1.32
1,1,Tuesday,2,Weekday,Credit Card,4699294.85,2.49,12.18,292087,4.27,13.89,727820.76,17.68,340590.0,1.17
1,1,Wednesday,3,Weekday,Credit Card,4944810.66,2.51,12.31,304531,4.27,14.23,765593.63,17.38,356166.0,1.17
2,2,Saturday,6,Weekend,Cash,2398953.4,0.0,11.2,194786,4.06,12.12,0.0,19.19,395859.0,2.03
2,2,Monday,1,Weekday,Cash,1899267.46,0.0,11.08,153210,4.0,11.97,0.0,18.98,308403.0,2.01
2,2,Thursday,4,Weekday,Cash,2108010.97,0.0,11.37,166151,3.8,13.25,0.0,16.88,335133.0,2.02
3,1,Saturday,6,Weekend,No charge,42212.71,0.0,13.11,2935,4.94,13.34,3.72,19.77,4068.0,1.39
3,1,Monday,1,Weekday,No charge,29300.12,0.0,13.45,1971,5.05,13.76,0.8,20.08,2519.0,1.28
3,1,Thursday,4,Weekday,No charge,34309.48,0.0,13.07,2372,4.55,14.2,0.0,17.49,2950.0,1.24
4,1,Friday,5,Weekday,Dispute,15047.86,0.0,13.56,1005,4.96,15.04,0.0,18.16,1262.0,1.26
4,1,Sunday,7,Weekend,Dispute,15448.64,0.0,13.3,1059,5.29,13.3,3.05,21.16,1409.0,1.33
4,1,Wednesday,3,Weekday,Dispute,12247.68,0.0,13.05,849,4.59,14.95,2.7,17.13,998.0,1.18
4,1,Tuesday,2,Weekday,Dispute,11951.52,0.0,13.5,801,4.78,14.88,2.86,17.87,966.0,1.21
1,2,Friday,5,Weekday,Credit Card,5878608.07,2.51,12.43,359107,4.47,14.09,900917.92,18.23,721825.0,2.01
1,2,Sunday,7,Weekend,Credit Card,4958451.89,2.45,12.44,306696,4.99,12.54,751539.11,22.26,623780.0,2.03
1,2,Tuesday,2,Weekday,Credit Card,5489508.43,2.54,12.38,335284,4.44,14.02,851819.3,18.25,673261.0,2.01
1,2,Wednesday,3,Weekday,Credit Card,5737673.58,2.56,12.48,347995,4.42,14.35,891366.31,17.91,699964.0,2.01
2,1,Friday,5,Weekday,Cash,1941730.63,0.0,11.22,154821,3.78,12.83,3.86,16.98,205513.0,1.33
2,1,Sunday,7,Weekend,Cash,1744275.19,0.0,11.25,140483,4.27,11.45,6.28,20.72,198256.0,1.41
2,1,Tuesday,2,Weekday,Cash,1663816.68,0.0,10.96,135885,3.63,12.55,13.34,16.77,171586.0,1.26
2,1,Wednesday,3,Weekday,Cash,1699219.18,0.0,11.07,137483,3.62,12.85,12.59,16.49,173011.0,1.26
